0.502 0.831 30.2 4.7 3.6 1
0.506 0.71 19.2 4.8 0.9 -1
0.512 0.597 19.9 6.3 1 -1
0.485 0.749 27.2 3.9 5.1 -1
0.502 0.796 18 2.8 1.2 -1
0.467 0.628 18.4 4.4 0.9 -1
0.418 0.749 18.9 3 2 -1
0.473 0.854 25.5 2.8 2.6 -1
0.435 0.889 28 2.5 6.5 -1
0.455 0.85 35.2 3.9 3.5 1
0.431 0.782 35.3 3.3 8.2 1
0.502 0.643 28 8.6 0.8 -1
0.513 0.66 19.7 5.3 0.7 -1
0.518 0.634 20.1 4.8 0.9 -1
0.425 0.804 38.6 4.1 4 1
0.458 0.774 33.7 4.5 5 1
0.51 0.576 9 2.7 0.4 -1
0.507 0.644 19.6 5.3 0.5 -1
0.474 0.577 14.3 3.7 0.7 -1
0.356 0.526 5.1 1 0.2 -1
0.45 0.757 19.1 2.8 1.3 -1
0.417 0.735 9.2 1.7 0.3 -1
0.442 0.823 23 2.5 1.5 -1
0.513 0.603 17.3 4.7 0.4 -1
0.448 0.77 30.3 5.7 1.6 -1
0.408 0.706 18.2 4.2 0.8 -1
0.408 0.67 13.9 2.8 0.8 -1
0.458 0.723 30.7 5.1 2.8 -1
0.467 0.649 8.9 2.1 0.4 -1
0.471 0.888 34.3 3 3 1
0.507 0.773 26.6 6.1 1.4 -1
0.402 0.81 22.8 3.1 2.3 -1
0.448 0.727 28.9 7.5 1.1 -1
0.53 0.562 27.1 7.9 0.9 -1
0.426 0.809 23.8 3.2 1.7 -1
0.434 0.839 18.5 2.2 1 -1
0.431 0.835 21.4 1.8 3.5 -1
0.431 0.854 18.4 2.7 1.6 -1
0.498 0.626 24.3 7.1 0.8 -1
0.401 0.573 10.7 1.7 0.4 -1
0.407 0.861 17.4 4 1 -1
0.444 0.727 28.6 5.6 1.7 -1
0.498 0.701 18.1 3.9 0.5 -1
0.411 0.809 24 2.2 2.3 -1
0.399 0.846 16.2 1.9 0.5 -1
0.415 0.855 30.7 4.6 1.9 -1
0.497 0.698 19 5.9 0.8 -1
0.473 0.666 23.6 4.3 1.6 -1
0.393 0.757 25.6 3.6 2 -1
0.496 0.71 25.3 5.7 0.6 -1
0.53 0.658 13.3 2.9 0.4 -1
0.502 0.645 21.7 6.4 0.8 -1
0.494 0.709 16.5 4.6 0.4 -1
0.412 0.674 19.2 2.3 1 -1
0.467 0.791 15.2 4.1 0.6 -1
0.439 0.801 32.2 3.5 6.1 -1
0.432 0.777 28.6 5.2 3.8 -1
0.492 0.738 27.5 6.1 2.2 -1
0.451 0.802 28.2 3.6 5.8 -1
0.473 0.724 17.3 4.5 1.4 -1
