247,Kevin McKenna,0,0,1981,88,LAL,Creighton University,6,243,3460,1320,317,342,0.414,0.367,0.819,14.2,5.4,1.3,1.4,4,0.056,-2.3,-0.2,Bill Sharman,2106 days 00:00:00.000000000,9,5,1,0,0,0,0,0
252,Larry Hughes,0,0,1998,8,PHI,Saint Louis University,13,727,22368,10242,3039,2290,0.406,0.309,0.757,30.8,14.1,4.2,3.1,32.3,0.069,-0.3,9.7,Billy King,3486 days 00:00:00.000000000,10,1,1,0,0,0,0,0
255,Speedy Claxton,0,0,2000,20,PHI,Hofstra University,7,334,8548,3096,830,1441,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,-0.7,2.8,Billy King,3486 days 00:00:00.000000000,10,3,1,0,0,0,0,0
257,Samuel Dalembert,0,0,2001,26,PHI,Seton Hall University,13,886,21646,6814,6942,465,0.521,0.083,0.706,24.4,7.7,7.8,0.5,51.3,0.114,-0.7,7.2,Billy King,3486 days 00:00:00.000000000,10,4,1,0,0,0,0,0
263,Andre Iguodala,0,0,2004,9,PHI,University of Arizona,12,900,31836,12109,4829,4134,0.462,0.334,0.715,35.4,13.5,5.4,4.6,82,0.124,3,40.5,Billy King,3486 days 00:00:00.000000000,10,7,1,0,0,0,0,0
264,Louis Williams,0,0,2005,45,PHI,0,11,701,16442,8604,1436,2036,0.416,0.342,0.818,23.5,12.3,2,2.9,41.5,0.121,0,8.3,Billy King,3486 days 00:00:00.000000000,10,8,0,0,0,0,0,0
265,Thabo Sefolosha,0,0,2006,13,PHI,0,10,678,15615,3956,2605,1004,0.447,0.345,0.732,23,5.8,3.8,1.5,31.3,0.096,1.1,12,Billy King,3486 days 00:00:00.000000000,10,9,0,0,0,0,0,0
266,Thaddeus Young,0,0,2007,12,PHI,Georgia Institute of Technology,9,665,20357,9251,3916,1012,0.497,0.319,0.688,30.6,13.9,5.9,1.5,42.6,0.101,0.3,11.7,Billy King,3486 days 00:00:00.000000000,10,10,1,0,0,0,0,0
267,Daequan Cook,0,0,2007,21,PHI,Ohio State University,6,328,5993,2114,703,243,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-3.6,-2.4,Billy King,3486 days 00:00:00.000000000,10,10,1,0,0,0,0,0
269,Kyrylo Fesenko,0,0,2007,38,PHI,0,5,135,1107,305,269,40,0.496,0,0.41,8.2,2.3,2,0.3,0.9,0.038,-4,-0.6,Billy King,3486 days 00:00:00.000000000,10,10,0,0,0,0,0,0
276,Stromile Swift,0,0,2000,2,MEM,Louisiana State University,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.9,0.2,Billy Knight,709 days 00:00:00.000000000,11,1,1,0,0,0,0,0
277,Shane Battier,0,0,2001,6,MEM,Duke University,13,977,30004,8408,4082,1717,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,2.9,37,Billy Knight,709 days 00:00:00.000000000,11,2,1,0,0,0,0,0
278,Jamaal Tinsley,0,0,2001,27,MEM,Iowa State University,11,547,14443,4652,1605,3330,0.393,0.299,0.716,26.4,8.5,2.9,6.1,17.2,0.057,-0.4,5.7,Billy Knight,709 days 00:00:00.000000000,11,2,1,0,0,0,0,0
281,Boris Diaw,0,0,2003,21,ATL,0,13,991,27485,8801,4476,3514,0.496,0.342,0.716,27.7,8.9,4.5,3.5,50.5,0.088,0.9,19.8,Billy Knight,1883 days 00:00:00.000000000,11,3,0,0,0,0,0,0
283,Josh Childress,0,0,2004,6,ATL,Stanford University,8,391,10432,3548,1850,609,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118,1.3,8.6,Billy Knight,1883 days 00:00:00.000000000,11,4,1,0,0,0,0,0
